timestamp,ip,username,password,label
2025-06-08 14:18:25.339640,127.0.0.1,Raspberry Pi,Surprise2343#,Brute Force
2025-06-08 14:27:24.872671,127.0.0.1,SpookyBluez,Redemption1,Brute Force
2025-06-08 14:27:39.141157,127.0.0.1,,,Brute Force
2025-06-08 14:27:40.273793,127.0.0.1,,,Brute Force
2025-06-08 14:27:42.974362,127.0.0.1,,,Brute Force
2025-06-08 14:29:40.319117,127.0.0.1,,,Brute Force
2025-06-08 14:29:42.842258,127.0.0.1,,,Brute Force
2025-06-08T15:13:29.271180,192.168.88.77,admin,hunter2,brute_force
2025-06-08T20:39:57.318170,10.0.0.3,admin,123456,Brute Force
2025-06-08T20:40:04.371564,192.168.1.10,user,letmein,SQL Injection
2025-06-08T20:40:11.421548,172.16.0.5,user,password,Credential Stuffing
2025-06-08T20:40:18.464475,172.16.0.5,admin,password,Brute Force
2025-06-08T20:40:25.490906,172.16.0.5,root,password,SQL Injection
2025-06-08T20:40:32.520961,203.0.113.99,root,letmein,Brute Force
2025-06-08T20:40:39.553564,203.0.113.99,user,password,SQL Injection
2025-06-08T20:40:46.607261,203.0.113.99,user,123456,Credential Stuffing
2025-06-08T20:40:53.659968,10.0.0.3,admin,123456,SQL Injection
2025-06-08T20:41:00.704694,10.0.0.3,guest,password,Brute Force
2025-06-08T20:41:07.742527,192.168.1.10,guest,password,SQL Injection
2025-06-08T20:41:14.801570,10.0.0.3,guest,123456,Brute Force
2025-06-08T20:41:21.836345,192.168.1.10,guest,admin,Brute Force
2025-06-08T20:41:28.878413,172.16.0.5,admin,admin,Credential Stuffing
2025-06-08T20:41:35.931904,172.16.0.5,guest,password,SQL Injection
2025-06-08T20:41:42.973667,192.168.1.10,admin,123456,Credential Stuffing
2025-06-08T20:41:50.013500,192.168.1.10,admin,letmein,Credential Stuffing
2025-06-08T20:41:57.062766,203.0.113.99,root,password,Credential Stuffing
2025-06-08T20:42:04.101836,203.0.113.99,user,password,Credential Stuffing
2025-06-08T20:42:11.148684,172.16.0.5,guest,admin,Brute Force
2025-06-08T20:42:18.199732,172.16.0.5,user,letmein,Brute Force
2025-06-08T20:42:25.247180,10.0.0.3,guest,123456,Credential Stuffing
2025-06-08T20:42:32.296490,192.168.1.10,guest,password,SQL Injection
2025-06-08T20:42:39.343299,172.16.0.5,guest,letmein,Brute Force
2025-06-08T20:42:46.386607,10.0.0.3,root,password,Credential Stuffing
2025-06-08T20:42:53.425954,203.0.113.99,guest,123456,SQL Injection
2025-06-08T20:43:00.466222,192.168.1.10,root,123456,Credential Stuffing
2025-06-08T20:43:07.508258,10.0.0.3,admin,admin,Brute Force
2025-06-08T20:43:14.556172,172.16.0.5,guest,letmein,SQL Injection
2025-06-08T20:43:21.602345,192.168.1.10,root,123456,SQL Injection
2025-06-08T20:43:28.651591,10.0.0.3,admin,admin,Brute Force
2025-06-08T20:43:35.700322,172.16.0.5,user,123456,Brute Force
2025-06-08T20:43:42.742586,203.0.113.99,root,admin,SQL Injection
2025-06-08T20:43:49.784971,10.0.0.3,user,letmein,SQL Injection
2025-06-08T20:43:56.823213,203.0.113.99,guest,password,Brute Force
2025-06-08T20:44:03.854078,10.0.0.3,user,letmein,SQL Injection
2025-06-08T20:44:10.906105,203.0.113.99,admin,123456,Brute Force
2025-06-08T20:44:17.940175,192.168.1.10,admin,123456,Brute Force
2025-06-08T20:44:24.987700,172.16.0.5,user,password,SQL Injection
2025-06-08T20:44:32.024452,203.0.113.99,admin,123456,SQL Injection
2025-06-08T20:44:39.072454,10.0.0.3,user,password,SQL Injection
2025-06-08T20:44:46.123666,203.0.113.99,root,admin,Brute Force
2025-06-08T20:44:53.162361,172.16.0.5,guest,admin,Brute Force
2025-06-08T20:45:00.202284,172.16.0.5,root,letmein,SQL Injection
2025-06-08T20:45:07.243588,192.168.1.10,admin,123456,Brute Force
2025-06-08T20:45:14.295060,172.16.0.5,user,letmein,SQL Injection
2025-06-08T20:45:21.330640,203.0.113.99,root,admin,Brute Force
2025-06-08T20:45:28.376707,172.16.0.5,user,123456,SQL Injection
2025-06-08T20:45:35.400611,203.0.113.99,user,123456,Brute Force
2025-06-08T20:45:42.440938,10.0.0.3,guest,password,Brute Force
2025-06-08T20:45:49.467415,192.168.1.10,guest,password,SQL Injection
2025-06-08T20:45:56.509795,172.16.0.5,guest,123456,Credential Stuffing
2025-06-08T20:46:03.550520,192.168.1.10,user,123456,SQL Injection
2025-06-08T20:46:10.581027,203.0.113.99,admin,letmein,SQL Injection
2025-06-08T20:46:17.632673,172.16.0.5,admin,123456,Brute Force
2025-06-08T20:46:24.678355,172.16.0.5,guest,letmein,SQL Injection
2025-06-08T20:46:31.719791,10.0.0.3,admin,admin,Brute Force
2025-06-08T20:46:38.769499,10.0.0.3,admin,admin,Credential Stuffing
2025-06-08T20:46:45.808917,10.0.0.3,admin,letmein,SQL Injection
2025-06-08T20:46:52.846221,192.168.1.10,user,letmein,Credential Stuffing
2025-06-08T20:46:59.890315,172.16.0.5,admin,password,Brute Force
2025-06-08T20:47:06.921397,172.16.0.5,user,123456,SQL Injection
2025-06-08T20:47:13.965129,192.168.1.10,user,letmein,Credential Stuffing
2025-06-08T20:47:21.009558,10.0.0.3,root,letmein,SQL Injection
2025-06-08T20:47:28.060635,203.0.113.99,user,123456,SQL Injection
2025-06-08T20:47:35.098632,192.168.1.10,root,admin,Credential Stuffing
2025-06-08T20:47:42.138436,10.0.0.3,admin,123456,SQL Injection
2025-06-08T20:47:49.173283,172.16.0.5,guest,123456,Credential Stuffing
2025-06-08T20:47:56.206886,172.16.0.5,user,password,Credential Stuffing
2025-06-08T20:48:03.259951,172.16.0.5,user,123456,Brute Force
2025-06-08T20:48:10.309533,192.168.1.10,admin,letmein,SQL Injection
2025-06-08T20:48:17.352999,203.0.113.99,root,letmein,Brute Force
2025-06-08T20:48:24.398805,203.0.113.99,guest,123456,SQL Injection
2025-06-08T20:48:31.428010,172.16.0.5,user,letmein,Credential Stuffing
2025-06-08T20:48:38.472050,172.16.0.5,user,123456,SQL Injection
2025-06-08T20:48:45.519027,10.0.0.3,guest,123456,Credential Stuffing
2025-06-08T20:48:52.575804,192.168.1.10,root,123456,Brute Force
2025-06-08T20:48:59.601896,172.16.0.5,user,letmein,Credential Stuffing
2025-06-08T20:49:06.634545,203.0.113.99,user,123456,Brute Force
2025-06-08T20:49:13.675771,203.0.113.99,guest,admin,Credential Stuffing
2025-06-08T20:49:20.724090,203.0.113.99,admin,123456,Credential Stuffing
2025-06-08T20:49:27.771435,10.0.0.3,root,123456,Brute Force
2025-06-08T20:49:34.810224,192.168.1.10,user,123456,Brute Force
2025-06-08T20:49:41.857909,10.0.0.3,user,password,SQL Injection
2025-06-08T20:49:48.900128,192.168.1.10,user,admin,SQL Injection
2025-06-08T20:49:55.940920,10.0.0.3,user,password,Brute Force
2025-06-08T20:50:02.993024,192.168.1.10,guest,123456,Credential Stuffing
2025-06-08T20:50:10.029212,203.0.113.99,admin,letmein,SQL Injection
2025-06-08T20:50:17.077389,172.16.0.5,root,password,Brute Force
2025-06-08T20:50:24.132239,192.168.1.10,admin,admin,Brute Force
2025-06-08T20:50:31.175892,10.0.0.3,guest,password,Credential Stuffing
2025-06-08T20:50:38.230352,192.168.1.10,guest,letmein,Credential Stuffing
2025-06-08T20:50:45.265189,10.0.0.3,admin,password,Credential Stuffing
2025-06-08T20:50:52.303201,192.168.1.10,guest,password,Brute Force
2025-06-08T20:50:59.348143,203.0.113.99,user,letmein,Credential Stuffing
2025-06-08T20:51:06.388178,10.0.0.3,user,password,Brute Force
2025-06-08T20:51:13.433386,10.0.0.3,admin,password,Credential Stuffing
2025-06-08T20:51:20.486491,192.168.1.10,user,letmein,SQL Injection
2025-06-08T20:51:27.525788,172.16.0.5,root,letmein,Brute Force
2025-06-08T20:51:34.567430,10.0.0.3,user,letmein,Credential Stuffing
2025-06-08T20:51:41.608066,192.168.1.10,root,letmein,Brute Force
2025-06-08T20:51:48.657550,172.16.0.5,admin,password,Credential Stuffing
2025-06-08T20:51:55.695784,192.168.1.10,admin,123456,Credential Stuffing
2025-06-08T20:52:02.733021,203.0.113.99,guest,password,Credential Stuffing
2025-06-08T20:52:09.779870,192.168.1.10,user,password,Brute Force
2025-06-08T20:52:16.830267,192.168.1.10,guest,123456,SQL Injection
2025-06-08T20:52:23.887593,203.0.113.99,user,123456,SQL Injection
2025-06-08T20:52:30.936959,192.168.1.10,user,letmein,Brute Force
2025-06-08T20:52:37.989625,192.168.1.10,admin,admin,Credential Stuffing
2025-06-08T20:52:45.041109,10.0.0.3,guest,password,Credential Stuffing
2025-06-08T20:52:52.083273,203.0.113.99,root,letmein,SQL Injection
2025-06-08T20:52:59.130847,203.0.113.99,admin,admin,Credential Stuffing
2025-06-08T20:53:06.181940,172.16.0.5,user,letmein,SQL Injection
2025-06-08T20:53:13.208443,10.0.0.3,guest,password,SQL Injection
2025-06-08T20:53:20.252675,203.0.113.99,user,password,SQL Injection
2025-06-08T20:53:27.306699,172.16.0.5,user,password,SQL Injection
2025-06-08T20:53:34.352379,172.16.0.5,user,admin,SQL Injection
2025-06-08T20:53:41.389847,192.168.1.10,guest,letmein,Credential Stuffing
2025-06-08T20:53:48.430709,10.0.0.3,user,letmein,SQL Injection
2025-06-08T20:53:55.483688,172.16.0.5,admin,admin,SQL Injection
2025-06-08T20:54:02.536354,203.0.113.99,admin,123456,SQL Injection
2025-06-08T20:54:09.583842,203.0.113.99,user,password,Credential Stuffing
2025-06-08T20:54:16.620763,192.168.1.10,user,123456,SQL Injection
2025-06-08T20:54:23.660288,10.0.0.3,root,letmein,Brute Force
2025-06-08T20:54:30.711857,172.16.0.5,user,password,Brute Force
2025-06-08T20:54:37.758830,172.16.0.5,root,admin,SQL Injection
2025-06-08T20:54:44.810197,172.16.0.5,user,admin,Credential Stuffing
2025-06-08T20:54:51.864502,172.16.0.5,admin,123456,Credential Stuffing
2025-06-08T20:56:07.056243,172.16.0.5,guest,password,Credential Stuffing
2025-06-08T20:56:14.106600,203.0.113.99,root,admin,Credential Stuffing
2025-06-08T20:56:21.157104,203.0.113.99,admin,password,Brute Force
2025-06-08T20:56:28.191489,203.0.113.99,guest,admin,Brute Force
2025-06-08T20:56:35.234022,203.0.113.99,admin,123456,SQL Injection
2025-06-08T20:56:42.283279,192.168.1.10,guest,admin,Brute Force
2025-06-08T20:56:49.328042,203.0.113.99,guest,password,Brute Force
2025-06-08T20:56:56.373948,203.0.113.99,admin,password,Credential Stuffing
2025-06-08T20:57:03.417294,172.16.0.5,guest,admin,SQL Injection
2025-06-08T20:57:10.469142,10.0.0.3,admin,123456,SQL Injection
2025-06-08T20:57:17.502185,172.16.0.5,user,letmein,SQL Injection
2025-06-08T20:57:24.547265,192.168.1.10,guest,letmein,SQL Injection
2025-06-08T20:57:31.597844,10.0.0.3,root,letmein,SQL Injection
2025-06-08T20:57:38.645580,192.168.1.10,admin,letmein,Credential Stuffing
2025-06-08T20:57:45.707284,203.0.113.99,user,letmein,SQL Injection
2025-06-08T20:57:52.755730,172.16.0.5,user,123456,SQL Injection
2025-06-08T20:57:59.788489,203.0.113.99,root,letmein,SQL Injection
2025-06-08T20:58:06.830676,192.168.1.10,user,123456,Brute Force
